ID,Description,Difficulty,Answer
06/04,"Requisitos não-funcionais de desempenho podem ser interpretados pelos desenvolvedores da forma mais conveniente para o desenho, uma vez que não impactam na arquitetura do produto.",Difícil,Falso
06/05,"Um engenheiro de requisitos deve ser proficiente na redação de documentos técnicos, em linguagem acessível aos usuários do software.",Fácil,Verdadeiro
07/01,"No processo de identificação dos objetos a serem implementadas no software, os substantivos dos casos de uso serão sempre classes, enquanto verbos serão operações e adjetivos serão atributos.",Difícil,Falso
07/02,"Classes de fronteira coordenam realizações de casos de uso e podem, inclusive, coordenar subfluxos ou fluxos alternativos complexos.",Difícil,Falso
07/03,"Os atributos que descrevem uma classe equivalem a relacionamentos de composição, onde a classe-alvo é o tipo e o papel é o nome do atributo.",Difícil,Verdadeiro
07/04,"Em modelos de análise comportamental as operações só podem ser representadas por um método, ainda que existam variantes da operação.",Difícil,Falso
07/05,"O processo de inspeção da análise visa assegurar que a visão de análise do modelo do problema forneça informação suficiente para a contagem dos pontos de função.",Média,Verdadeiro
08/01,"Na estratégia YAGNI (You Ain't Gonna Need It) a visão lógica é produzida a posteriori e emerge da implementação, em contraste à estratégia BDUF (Big Design Up Front) onde o desenho tenta resolver tudo antes da implementação.",Fácil,Verdadeiro
08/02,"Na geração de artefatos do modelo da solução pode ser utilizado o método de engenharia reversa, por meio do qual o modelo gera o esqueleto do código.",Difícil,Falso
08/03,"No desenho das entidades os relacionamentos geralmente são batizados, uma vez que correspondem a estruturas implementáveis.",Difícil,Falso
08/04,"No desenho da persistência, objetos persistentes devem deixar de existir após a execução dos programas que os criaram ou atualizaram.",Difícil,Falso
08/05,"No desenho comportamental interno, métodos de classes especializadas podem reduzir a visibilidade dos métodos que redefinem, preservando o princípio da substitutibilidade.",Difícil,Falso
09/01,"Testes são mais eficazes que a revisão de código para a remoção de defeitos no software, detectando defeitos que escapam da revisão",Difícil,Falso
09/02,"Casos de teste não tem como objetivo demonstrar que o programa funciona, e portanto, devem incluir entradas incorretas e procedimentos errados, mas possíveis.",Fácil,Verdadeiro
09/03,"A partição de equivalência divide o domínio de entrada em categorias de dados. Ao fazer esta análise, podemos retirar testes que se enquadrem na mesma categoria sem o perigo de prejudicar a cobertura dos testes.",Difícil,Verdadeiro
09/04,"Alguns exemplos de testes não funcionais são testes de desempenho, de análise de valores limite e persistência de dados. ",Difícil,Falso
09/05,"Testes de regressão tem como objetivo aumentar a cobertura dos testes, ou seja, testar partes do código que ainda não foram testadas anteriormente, e portanto, são fundamentais como testes de aceitação.",Difícil,Falso
10/01,"A eficiência de um software resulta mais de um bom desenho do que da codificação em si, e portanto, compromissos entre a otimização do tempo ou espaço devem ser resolvidos também pelo desenho.",Fácil,Verdadeiro
10/02,"Um alto acoplamento entre diferentes módulos demonstra uma melhor interconexão das interfaces de usuário com outros sistemas, e portando, uma maior robustez do software.",Fácil,Falso
10/03,"A programação em pares é uma das técnicas usadas para a revisão de código, onde o chamado piloto pega o papel de codificação e o chamado navegador confere, avalia e sugere melhorias. Estes papeis são, eventualmente, trocados para uma melhor produtividade",Fácil,Verdadeiro
10/04,"Testes de unidade são responsabilidade do desenvolvedor do código, e assim como a documentação, pertencem a parte de implementação do software.",Média,Verdadeiro
10/05,"Na integração contínua, uma das práticas fundamentais do extreme programming, a integração é feita a cada unidade terminada, ou em alguns casos, pode ser feita até diversas vezes por unidade. ",Fácil,Verdadeiro
11/01,"Garantia de qualidade é um conjunto de ações necessárias para estabelecer um nível adequado de confiança de que um item ou produto está em conformidade com seus requisitos técnicos.",Fácil,Verdadeiro
11/02,"O objetivo da gestão de qualidade é primariamente garantir a qualidade após o termino do projeto, por meio de análise dos processos executados para ajusta-los. ",Difícil,Falso
11/03,"Verificação é a confirmação de que um produto refletem corretamente seus requisitos, podendo ser feito por meio de análises estáticas, testes de desenvolvimento e revisões.",Fácil,Verdadeiro
11/04,"Membros da gestão de qualidade podem ser desenvolvedores no resto do tempo, desde que obrigatoriamente não participem da gestão de qualidade de projetos em que estejam envolvidos.",Fácil,Verdadeiro
11/05,"Em uma organização madura, a gestão de qualidade deixa de ser importante e a recomendação é alocar recursos em outras áreas, como por exemplo, na engenharia de processos.",Fácil,Falso
12/01,"De acordo com o PMBoK, ainda que incomuns, projetos sem data de término inicialmente definida estão especificados. Estes projetos diferem em algumas análises que devem ser feita de forma especial, como por exemplo a gestão de custos.",Difícil,Falso
12/02,"Indicadores de tamanho são medidas da complexidade de um produto e estão relacionadas com o esforço de desenvolvimento.  Um exemplo desses indicadores são os pontos de função, que medem o tamanho físico do software.",Difícil,Falso
12/03,"Algumas das desvantagens dos pontos de função incluem a dificuldade de serem computados requerendo profissionais treinados e o fato deles, por exemplo, não medirem reutilização de componentes.",Fácil,Verdadeiro
12/04,"Na gestão do tempo, os benefícios de estimativas corretas são de grande valiosidade para grande parte das organizações, sendo mais importantes que prazos, custos ou flexibilidade.",Difícil,Verdadeiro
12/05,"Não é papel da gestão de risco delimitar a incerteza em relação ao projeto, mas fazer uma comunicação de riscos.",Difícil,Falso
13/01,"Uma alteração nos requisitos representa uma alteração no problema, e não somente na solução, e portanto, usualmente são cobradas a parte do escopo original do projeto.",Fácil,Verdadeiro
13/02,"Uma das principais partes da gestão de alterações se encontrar em ferramentas de "controle de versão" de código, como git, SVN e Perforce.",Média,Verdadeiro
13/03,"Alterações de requisito são praticamente inevitáveis e podem acontecer durante o desenvolvimento da solução, como por exemplo pela descoberta de defeitos nos requisitos especificados.",Fácil,Verdadeiro
13/04,"Com um levantamento e análises perfeitos, é esperado que fatores externos não causem alterações.",Fácil,Falso
13/05,"A manutenção corretiva inclui a correção de problemas na implementação e modificação subsequente em artefatos correlatos.",Média,Verdadeiro
14/01,"De acordo com o CMMI primeiro necessitamos de uma organização com processos firmemente definidos para somente depois procurar analisar e otimiza estes processos.",Média,Verdadeiro
14/02,"A engenharia de processos não assume responsabilidades na execução dos projetos em si, e portanto, usualmente são alocados desenvolvedores mais inexperientes para que possam aprender de longe.",Média,Falso
14/04,"São sinais de inadequação de processos a deficiência de entendimento e prática dos processos atuais.",Difícil,Falso
14/05,"Quando temos uma equipe inexperiente ou com variadas experiências, devemos colocar esforços em simplificar os processos para que todos consigam seguir de modo uniforme as recomendações desejadas.",Difícil,Falso
15/01,"A Engenharia de Sistemas é uma disciplina de mais alto nível do que a Engenharia de Software, entretanto deve ser considerada mesmo que um software for o produto final.",Fácil,Verdadeiro
15/02,"A engenharia de sistemas é uma atividade usual mesmo quando um software é o produto final.",Difícil,Verdadeiro
15/03,"O padrão UML é utilizado pois mantém a uniformidade de notação entre ferramentas, embora não modele aspectos estáticos do negócio como relacionamento entre objetos. ",Média,Falso
15/04,"O administrador de dados é um papel muito especializado na Engenharia de Sistemas. Entre suas responsabilidades se encontram a administração dos subsistemas de persistência e a configuração de hardware e software de bancos de dados.",Média,Verdadeiro
15/05,"Não é esperado que administradores de sistemas tenham conhecimento específico em programação, somente dos hardwares e softwares utilizados.",Fácil,Falso
